gt_record_id,record_id,mode,status,title,extraction_method,cost_usd,error_message,pdf_path,data_type,geospatial_info_dataset,spatial_range_km2,temporal_range,temp_range_i,temp_range_f,species,referred_dataset,time_series,multispecies,threatened_species,new_species_science,new_species_region,bias_north_south,valid_yn,reason_not_valid
5,10.1093/jhered/esx103,abstract,success,Data from: Paternity analysis of wood turtles (Glyptemys insculpta) reveals complex mating patterns,abstract_text,0.0047,,data\pdfs\fuster\10.1093_jhered_esx103.pdf,"[""genetic_analysis""]",,,nesting season 2006 and 2007,2006,2007,"[""Glyptemys insculpta""]",,,False,True,False,False,,yes,
9,10.1371/journal.pone.0128238,abstract,success,Data from: Resampling method for applying density-dependent habitat selection theory to wildlife surveys,abstract_text,0.0048,,data\pdfs\fuster\10.1371_journal.pone.0128238.pdf,"[""abundance""]","[""sample"", ""administrative_units""]",,,,,"[""Procyon lotor"", ""Mephitis mephitis"", ""Striped skunk"", ""Raccoon""]",Capture_data_Tardy_et_al.xlsx,,True,,,,,,
11,10.1371/journal.pone.0073695,abstract,success,Data from: Impacts of human disturbance on large prey species: do behavioral reactions translate to fitness consequences?,abstract_text,0.0084,,data\pdfs\fuster\10.1371_journal.pone.0073695.pdf,"[""time_series""]","[""range""]",,1999-2000 and 2004-2011,1999,2011,"[""woodland caribou (Rangifer tarandus caribou)""]",,True,False,,,,,,
12,10.1002/ece3.4685,abstract,success,"Data from: Natal habitat preference induction in large mammals – Like mother, like child?",abstract_text,0.0053,,data\pdfs\fuster\10.1002_ece3.4685.pdf,,"[""administrative_units""]",,2004–2011 (snow-covered: Dec–Apr; snow-free: May–Nov),2004,2011,"[""Rangifer tarandus"", ""woodland caribou""]",,True,False,True,,,,yes,
19,10.1093/jhered/esw073,abstract,success,Data from: The genetic signature of range expansion in a disease vector - the black-legged tick,abstract_text,0.0053,,data\pdfs\fuster\10.1093_jhered_esw073.pdf,"[""genetic_analysis""]","[""site""]",,2011 to 2014,2011,2014,"[""black-legged tick"", ""Ixodes scapularis""]",,True,False,,,,,,
24,10.1002/ece3.3906,abstract,success,"Data from: Influence of northern limit range on genetic diversity and structure in a widespread North American tree, sugar maple (Acer saccharum Marshall)",abstract_text,0.0068,,data\pdfs\fuster\10.1002_ece3.3906.pdf,"[""genetic_analysis""]","[""site""]",,,,,"[""sugar maple (Acer saccharum Marshall)""]",,,,,,,,yes,
27,10.1111/ddi.12496,abstract,success,Data from: Patchy distribution and low effective population size raise concern for an at-risk top predator,abstract_text,0.01,,data\pdfs\fuster\10.1111_ddi.12496.pdf,"[""genetic_analysis""]","[""site"", ""administrative_units""]",,2010 – 2014,2010,2014,"[""Canis lupus familiaris"", ""Canis lycaon"", ""eastern wolf"", ""predator distribution"", ""Canis lycaon sp. cf"", ""Canis latrans"", ""Canis lupus Canada"", ""Quebec"", ""Ontario"", ""Eastern Coyotes"", ""Canis individuals""]",,,True,True,,True,,yes,
29,10.1002/ece3.1476,abstract,success,"Data from: Ecological gradients driving the distribution of four Ericaceae in boreal Quebec, Canada",abstract_text,0.0071,,data\pdfs\fuster\10.1002_ece3.1476.pdf,"[""abundance""]","[""administrative_units"", ""maps""]",535355.0,,,,"[""Rhododendron groenlandicum"", ""Kalmia angustifolia"", ""Chamaedaphne calyculata"", ""Vaccinium spp"", ""Vaccinium angustifolium"", ""Vaccinium myrtilloides""]",Data_ThiffaultEtAl_EcoEvo,,True,,,,True,yes,
30,10.1186/s40462-016-0079-4,abstract,success,"Data from: Caribou, water, and ice – fine-scale movements of a migratory arctic ungulate in the context of climate change",abstract_text,0.0092,,data\pdfs\fuster\10.1186_s40462-016-0079-4.pdf,"[""presence-only"", ""time_series"", ""ecosystem_structure""]","[""sample"", ""maps"", ""geographic_features""]",,GPS: 2007–2014; MODIS: 2000–2014; historical observations: 1947–1985,1947,2014,"[""migratory caribou Rangifer tarandus caribou"", ""Rangifer tarandus""]",,True,False,,,,True,yes,
31,10.1111/eva.12028,abstract,success,Data from: Reduced fitness of Atlantic salmon released in the wild after one generation of captive-breeding,abstract_text,0.0046,,data\pdfs\fuster\10.1111_eva.12028.pdf,"[""genetic_analysis""]","[""site""]",,2002 to 2005,2002,2005,"[""Atlantic salmon"", ""Salmo salar""]",,,False,,,,,yes,
