gt_record_id,record_id,mode,status,title,extraction_method,cost_usd,error_message,pdf_path,data_type,geospatial_info_dataset,spatial_range_km2,temporal_range,temp_range_i,temp_range_f,species,referred_dataset,time_series,multispecies,threatened_species,new_species_science,new_species_region,bias_north_south,valid_yn,reason_not_valid
5,10.1093/jhered/esx103,pdf_native,success,Data from: Paternity analysis of wood turtles (Glyptemys insculpta) reveals complex mating patterns,pdf_native,0.0721,,data\pdfs\fuster\10.1093_jhered_esx103.pdf,"[""genetic_analysis""]","[""site"", ""maps""]",,2006 and 2007,2006,2007,"[""wood turtle (Glyptemys insculpta)""]",Microsatellites genotypes (http://dx.doi.org/10.5061/dryad.121sk),,False,True,,,,yes,
9,10.1371/journal.pone.0128238,pdf_native,success,Data from: Resampling method for applying density-dependent habitat selection theory to wildlife surveys,pdf_native,0.1333,,data\pdfs\fuster\10.1371_journal.pone.0128238.pdf,"[""abundance""]","[""sample"", ""site"", ""maps""]",,"From 27 September to 20 October 2008, over ten consecutive nights; study context mentions rabies cases reported between 2006 and 2009.",2008,2008,"[""raccoon (Procyon lotor L.)"", ""striped skunk (Mephitis mephitis L.)""]","Land cover types delineated on 1:15,000 aerial photographs taken in 1999 by the Ministère des Ressources Naturelles et de la Faune du Québec (MRNF), and crop information from Financière Agricole du Québec.",,True,,,,,yes,
11,10.1371/journal.pone.0073695,pdf_native,success,Data from: Impacts of human disturbance on large prey species: do behavioral reactions translate to fitness consequences?,pdf_native,0.0648,,data\pdfs\fuster\10.1371_journal.pone.0073695.pdf,"[""distribution"", ""time_series""]","[""site"", ""maps""]",7250.0,from late 1998 to early 2001 and from 2004 to 2011,1998,2011,"[""forest-dwelling woodland caribou (Rangifer tarandus caribou)"", ""wolves (Canis lupus)"", ""black bear (Ursus americanus)"", ""moose (Alces alces)""]",Very High Frequency (VHF) telemetry locations collected on 28 individuals from late 1998 to early 2001 in the same population,True,,True,,,,yes,
12,10.1002/ece3.4685,pdf_native,success,"Data from: Natal habitat preference induction in large mammals – Like mother, like child?",pdf_native,0.075,,data\pdfs\fuster\10.1002_ece3.4685.pdf,"[""distribution"", ""presence-only"", ""time_series""]","[""sample"", ""site"", ""maps""]",7250.0,Between April 2004 and March 2008 adult females were captured and monitored until March 2012; calves were captured between spring 2004 and spring 2007; analyses cover 2004–2011.,2004,2012,"[""woodland caribou (Rangifer tarandus caribou)""]",Dryad Digital Repository: https://doi.org/10.5061/dryad.24q6q70,True,False,True,,,,yes,
19,10.1093/jhered/esw073,pdf_native,success,Data from: The genetic signature of range expansion in a disease vector - the black-legged tick,pdf_native,0.0603,,data\pdfs\fuster\10.1093_jhered_esw073.pdf,"[""genetic_analysis""]","[""sample"", ""site"", ""maps""]",2080.0,between 2011 and 2014,2011,2014,"[""black-legged tick"", ""Ixodes scapularis""]",Dryad,,,,,,,yes,
24,10.1002/ece3.3906,pdf_native,success,"Data from: Influence of northern limit range on genetic diversity and structure in a widespread North American tree, sugar maple (Acer saccharum Marshall)",pdf_native,0.0786,,data\pdfs\fuster\10.1002_ece3.3906.pdf,"[""genetic_analysis""]","[""sample"", ""site"", ""maps""]",357653.0,collected in 2008 and 2009,2008,2009,"[""sugar maple (Acer saccharum Marshall)""]","large inventory databases; EFE and ecoforestry maps obtained from the ministère des Forêts, de la Faune et des Parcs du Québec (MFFPQ); Dryad doi: 10.5061/dryad.36634",,,,,,True,yes,
27,10.1111/ddi.12496,pdf_native,success,Data from: Patchy distribution and low effective population size raise concern for an at-risk top predator,pdf_native,0.0595,,data\pdfs\fuster\10.1111_ddi.12496.pdf,"[""genetic_analysis"", ""presence-only""]","[""site"", ""maps""]",13993.0,between 2003 and 2014,2003,2014,"[""Eastern Wolf (Canis lycaon)"", ""Eastern Coyote"", ""Great Lakes-Boreal Wolf"", ""Dog"", ""Canis individuals""]","Previously published Canis genotype datasets from Algonquin Provincial Park, north-eastern Ontario, and south-eastern Ontario/Dogs (Rutledge et al. 2010a; Wheeldon et al. 2013; Benson et al. 2012a,b).",,True,True,,True,,yes,
29,10.1002/ece3.1476,pdf_native,success,"Data from: Ecological gradients driving the distribution of four Ericaceae in boreal Quebec, Canada",pdf_native,0.0989,,data\pdfs\fuster\10.1002_ece3.1476.pdf,"[""abundance""]","[""sample"", ""site"", ""maps""]",535355.0,between 1986 and 2000,1986,2000,"[""Rhododendron groenlandicum"", ""Kalmia angustifolia"", ""Chamaedaphne calyculata"", ""Vaccinium angustifolium"", ""Vaccinium myrtilloides""]",governmental ecological survey dataset; SIFORT (Spatial Information on Forest composition based on Tesserae) geospatial database,,True,,,,True,yes,
30,10.1186/s40462-016-0079-4,pdf_native,success,"Data from: Caribou, water, and ice – fine-scale movements of a migratory arctic ungulate in the context of climate change",pdf_native,0.0904,,data\pdfs\fuster\10.1186_s40462-016-0079-4.pdf,"[""distribution"", ""time_series""]","[""sample"", ""site"", ""maps"", ""geographic_features""]",630000.0,2007 to 2014 for GPS telemetry caribou data; ice data from 2000 to 2014; historical Lake Nichicun ice observations from 1947 to 1985,2007,2014,"[""migratory caribou Rangifer tarandus caribou""]",MODIS / Terra Snow Cover 8-Day L3 Global 500 m Grid v. 5; historical Lake Nichicun breakup/freeze observations (1947–1985),True,,True,,,True,yes,
31,10.1111/eva.12028,pdf_native,success,Data from: Reduced fitness of Atlantic salmon released in the wild after one generation of captive-breeding,pdf_native,0.0598,,data\pdfs\fuster\10.1111_eva.12028.pdf,"[""genetic_analysis"", ""abundance""]","[""sample"", ""site"", ""maps""]",,from 2002 to 2005,2002,2005,"[""Atlantic salmon (Salmo salar)""]",Dryad doi:10.5061/dryad.4k739,True,False,,,,,yes,
