gt_record_id,record_id,mode,status,title,extraction_method,cost_usd,error_message,pdf_path,data_type,geospatial_info_dataset,spatial_range_km2,temporal_range,temp_range_i,temp_range_f,species,referred_dataset,time_series,multispecies,threatened_species,new_species_science,new_species_region,bias_north_south,valid_yn,reason_not_valid
5,10.1093/jhered/esx103,sections,success,Data from: Paternity analysis of wood turtles (Glyptemys insculpta) reveals complex mating patterns,sections,0.008,,data\pdfs\fuster\10.1093_jhered_esx103.pdf,"[""genetic_analysis""]","[""site""]",,Hatchlings sampled 2006–2007; adult samples/candidate parents collected during annual surveys 1996–2015.,1996,2015,"[""wood turtle (Glyptemys insculpta)""]",,True,False,True,False,False,,yes,
9,10.1371/journal.pone.0128238,sections,success,Data from: Resampling method for applying density-dependent habitat selection theory to wildlife surveys,sections,0.0061,,data\pdfs\fuster\10.1371_journal.pone.0128238.pdf,"[""abundance""]","[""sample"", ""site"", ""administrative_units""]",,27 September to 20 October 2008,2008,2008,"[""raccoons"", ""striped skunks""]",,False,True,,,,,,
11,10.1371/journal.pone.0073695,sections,success,Data from: Impacts of human disturbance on large prey species: do behavioral reactions translate to fitness consequences?,sections,0.0112,,data\pdfs\fuster\10.1371_journal.pone.0073695.pdf,"[""time_series""]","[""sample"", ""maps"", ""geographic_features""]",7250.0,April 2004 to March 2011 (GPS telemetry),2004,2011,"[""woodland caribou (Rangifer tarandus caribou)""]",digital forest maps provided by the MRNF,True,False,,,,,yes,
12,10.1002/ece3.4685,sections,success,"Data from: Natal habitat preference induction in large mammals – Like mother, like child?",sections,0.0071,,data\pdfs\fuster\10.1002_ece3.4685.pdf,"[""presence-only""]","[""sample"", ""maps""]",7250.0,,,,"[""caribou""]",,True,False,,,,,yes,
19,10.1093/jhered/esw073,sections,success,Data from: The genetic signature of range expansion in a disease vector - the black-legged tick,sections,0.0079,,data\pdfs\fuster\10.1093_jhered_esw073.pdf,"[""genetic_analysis""]","[""site"", ""maps""]",2080.0,2011 to 2014,2011,2014,"[""black-legged tick""]",,True,False,,,,,yes,
24,10.1002/ece3.3906,sections,success,"Data from: Influence of northern limit range on genetic diversity and structure in a widespread North American tree, sugar maple (Acer saccharum Marshall)",sections,0.0077,,data\pdfs\fuster\10.1002_ece3.3906.pdf,"[""genetic_analysis""]","[""site"", ""site_ids"", ""maps"", ""administrative_units""]",,,,,"[""sugar maple (Acer saccharum)""]",,,False,False,False,False,,yes,
27,10.1111/ddi.12496,sections,success,Data from: Patchy distribution and low effective population size raise concern for an at-risk top predator,sections,0.0066,,data\pdfs\fuster\10.1111_ddi.12496.pdf,"[""genetic_analysis""]","[""site"", ""administrative_units""]",,2003 to 2014,2003,2014,"[""Canis individuals"", ""Eastern Wolves"", ""Eastern Coyotes"", ""admixed Canis types""]",,,True,True,,True,,yes,
29,10.1002/ece3.1476,sections,success,"Data from: Ecological gradients driving the distribution of four Ericaceae in boreal Quebec, Canada",sections,0.0086,,data\pdfs\fuster\10.1002_ece3.1476.pdf,"[""abundance"", ""ecosystem_structure""]","[""sample"", ""site"", ""site_ids"", ""maps"", ""geographic_features""]",535355.0,1986-2000,1986,2000,"[""Rhododendron groenlandicum"", ""Kalmia angustifolia"", ""Chamaedaphne calyculata"", ""Vaccinium spp."", ""Vaccinium angustifolium"", ""Vaccinium myrtilloides""]",Governmental ecological survey dataset; SIFORT (Spatial Information on Forest composition based on Tesserae),,True,,,,True,,
30,10.1186/s40462-016-0079-4,sections,success,"Data from: Caribou, water, and ice – fine-scale movements of a migratory arctic ungulate in the context of climate change",sections,0.0085,,data\pdfs\fuster\10.1186_s40462-016-0079-4.pdf,"[""presence-only""]","[""sample"", ""geographic_features""]",630000.0,2007-2014,2007,2014,"[""Rangifer tarandus (caribou)""]","MODIS (contemporary ice maps, 2000-2014); historical annual observations (1947-1985); digital hydrological maps",True,False,,,,True,yes,
31,10.1111/eva.12028,sections,success,Data from: Reduced fitness of Atlantic salmon released in the wild after one generation of captive-breeding,sections,0.0081,,data\pdfs\fuster\10.1111_eva.12028.pdf,"[""genetic_analysis""]","[""site"", ""administrative_units""]",,2000 to 2005,2000,2005,"[""Atlantic salmon (Salmo salar)""]",,True,False,,,,,yes,
37,10.1002/ece3.1029,sections,success,Data from: Fitness dynamics within a poplar hybrid zone: I. Prezygotic and postzygotic barriers impacting a native poplar hybrid stand.,sections,0.0094,,data\pdfs\fuster\10.1002_ece3.1029.pdf,"[""genetic_analysis"", ""traits"", ""abundance"", ""presence-absence""]","[""sample"", ""site""]",1.36,2007 and 2009,2007,2009,"[""Populus balsamifera"", ""Populus deltoides"", ""P. nigra"", ""P. maximowiczii"", ""Melampsora larici-populina"", ""Melampsora medusae"", ""Melampsora occidentalis"", ""Septoria spp.""]",,,True,,,,,yes,
38,10.1371/journal.pone.0204445,sections,success,Data from: Temporal dynamics in animal community assembly during post-logging succession in boreal forest,sections,0.0089,,data\pdfs\fuster\10.1371_journal.pone.0204445.pdf,"[""abundance"", ""ecosystem_structure""]","[""site"", ""maps""]",,June–September 2007; 30 May–21 August 2011,2007,2011,"[""small mammals"", ""beetles"", ""black spruce (Picea mariana)"", ""balsam fir (Abies balsamea)"", ""paper birch (Betula papyrifera)"", ""trembling aspen (Populus tremuloides)""]",Eco-forestry Information System (Ministère des Ressources naturelles et de la Faune du Québec),False,True,,,,,yes,
39,10.1098/rspb.2014.0649,sections,success,Data from: Severe recent decrease of adult body mass in a declining insectivorous bird population,sections,0.0061,,data\pdfs\fuster\10.1098_rspb.2014.0649.pdf,"[""traits"", ""abundance"", ""presence-absence""]","[""site""]",10200.0,2005 to 2011,2005,2011,"[""Tachycineta bicolor (tree swallow)""]",,True,False,,,,,yes,
56,10.1111/eva.12315,sections,success,Data from: Multidimensional environmental influences on timing of breeding in a tree swallow population facing climate change,sections,0.0124,,data\pdfs\fuster\10.1111_eva.12315.pdf,"[""traits"", ""presence-absence"", ""abundance"", ""time_series""]","[""site"", ""maps""]",10200.0,2004 to 2013 (breeding seasons April–August),2004,2013,"[""tree swallow (Tachycineta bicolor)""]",Environment Canada meteorological station data (http://meteo.gc.ca/),True,,,,,,yes,
71,10.1111/1365-2664.12675,sections,success,Data from: Threshold dynamics in plant succession after tree planting in agricultural riparian zones,sections,0.0015,,data\pdfs\fuster\10.1111_1365-2664.12675.pdf,,,,,,,,,,,,,,,,
89,10.1890/12-2118.1,sections,success,Data from: Logging-induced changes in habitat network connectivity shape behavioral interactions in the wolf-caribou-moose system,sections,0.0063,,data\pdfs\fuster\10.1890_12-2118.1.pdf,"[""time_series""]","[""sample"", ""maps"", ""geographic_features""]",33900.0,March 2005 to March 2009,2005,2009,"[""Rangifer tarandus caribou"", ""Alces alces"", ""Canis lupus""]","Natural Resources Canada, Canadian Forest Service (Landsat TM image, year 2000); Ministère des Ressources naturelles et de la Faune du Québec (digital elevation model)",True,True,,,,True,yes,
91,10.1002/ece3.1266,sections,success,Data from: Genetic connectivity among swarming sites in the wide ranging and recently declining little brown bat (Myotis lucifugus),sections,0.0062,,data\pdfs\fuster\10.1002_ece3.1266.pdf,"[""genetic_analysis""]","[""site"", ""administrative_units""]",,Autumns 2009–2011 (10 August to 06 October),2009,2011,"[""Myotis lucifugus (little brown bat)"", ""768 adults and 174 YOY tissue samples""]",,,False,,,,,yes,
101,10.1371/journal.pone.0077514,sections,success,Data from: Disentangling woodland caribou movements in response to clearcuts and roads across temporal scales,sections,0.01,,data\pdfs\fuster\10.1371_journal.pone.0077514.pdf,"[""presence-only""]","[""sample""]",31000.0,2004-2010,2004,2010,"[""woodland caribou""]",Ecoforest maps provided by the MRNF (updated annually); Data available from Dryad Digital Repository: http://dx.doi.org/10.5061/dryad.n3c2f,True,False,True,,,,yes,
104,10.1038/s41598-018-34822-9,sections,success,Data from: Compensatory conservation measures for an endangered caribou population under climate change,sections,0.0065,,data\pdfs\fuster\10.1038_s41598-018-34822-9.pdf,"[""other""]","[""maps"", ""geographic_features""]",,,,,"[""Rangifer tarandus caribou"", ""boreal caribou""]",,,False,True,False,False,,yes,
123,10.1098/rspb.2014.0502,sections,success,Data from: Temporally dynamic habitat suitability predicts genetic relatedness among caribou,sections,0.0078,,data\pdfs\fuster\10.1098_rspb.2014.0502.pdf,"[""presence-only"", ""genetic_analysis""]","[""sample"", ""administrative_units"", ""maps""]",1365000.0,,,,"[""Caribou (R. tarandus)""]",,True,False,,,,True,yes,
175,10.5558/tfc76653-4,sections,success,"Ã‰valuation de la coupe avec protection de la rÃ©gÃ©nÃ©ration et des sols comme mÃ©thode de rÃ©gÃ©nÃ©ration de peuplements mÃ©langÃ©s du domaine bioclimatique de la sapiniÃ¨re Ã  bouleau jaune de l'est du QuÃ©bec, Canada",sections,0.0073,,data\pdfs\fuster\10.5558_TFC76653-4.pdf,"[""abundance""]","[""site""]",,5 years after harvest (single post-harvest census),,,"[""Acer spicatum"", ""Prunus pensylvanica"", ""Abies balsamea"", ""Betula alleghaniensis"", ""Betula papyrifera""]",,,True,,,,,yes,
201,10.1086/671900,sections,success,Comparative Physiology and Relative Swimming Performance of Three Redhorse (Moxostoma spp.) Species: Associations with Fishway Passage Success*,sections,0.0104,,data\pdfs\fuster\10.1086_671900.pdf,"[""traits"", ""abundance"", ""other""]","[""site"", ""site_ids"", ""maps"", ""administrative_units""]",,"Respirometry: May 30–June 13, 2011; Swimming performance and blood physiology: April 22–May 25, 2012; Passive integrated transponder (PIT) detections / passage observations: 2010 and 2012.",2010,2012,"[""Moxostoma anisurum"", ""Moxostoma carinatum"", ""Moxostoma macrolepidotum"", ""silver redhorse"", ""river redhorse"", ""shorthead redhorse""]",,,True,,,,,yes,
208,10.3389/fmars.2021.637546,sections,success,Determining the Ecological Status of Benthic Coastal Communities: A Case in an Anthropized Sub-Arctic Area,sections,0.008,,data\pdfs\fuster\10.3389_fmars.2021.637546.pdf,"[""abundance"", ""ecosystem_structure""]","[""site"", ""maps""]",,July 2017 (heavy metal concentrations interpolated from 2014 and 2016 data),2017,2017,,Carrière (2018) database (heavy metal concentrations from 2014 and 2016 used for interpolation),False,True,,,,True,yes,
225,10.1371/journal.pone.0109261,sections,success,"Effects of Habitat-Forming Species Richness, Evenness, Identity, and Abundance on Benthic Intertidal Community Establishment and Productivity",sections,0.0074,,data\pdfs\fuster\10.1371_journal.pone.0109261.pdf,"[""abundance"", ""presence-absence"", ""ecosystem_function"", ""species_richness""]","[""site""]",,16-week experiment / single field season (colonization observed over 16 weeks),,,"[""Fucus distichus edentatus"", ""Fucus vesiculosus"", ""Mytilus spp."", ""Gammarus spp."", ""Polychaeta"", ""Fucus recruits""]",,,True,False,,,,yes,
253,10.1111/eva.13248,sections,success,Genomic data support management of anadromous Arctic Char fisheries in Nunavik by highlighting neutral and putatively adaptive genetic variation,sections,0.0058,,data\pdfs\fuster\10.1111_eva.13248.pdf,"[""genetic_analysis""]","[""site""]",,,,,"[""Arctic Char (Salvelinus alpinus)""]",,,False,,,,True,yes,
258,10.1111/ecog.00997,sections,success,"Host phenology, geographic range size and regional occurrence explain interspecific variation in damselflyâ€“water mite associations",sections,0.008,,data\pdfs\fuster\10.1111_ECOG.00997.pdf,"[""abundance"", ""presence-absence"", ""genetic_analysis"", ""traits"", ""species_richness""]","[""site"", ""site_ids"", ""administrative_units"", ""maps""]",,Weekly visits for eight weeks in June–July 2011,2011,2011,"[""Coenagrionidae (damselflies) \u2014 16 host species collected (not individually listed in provided text)"", ""Arrenuridae (Arrenurus water mites) \u2014 15 OTUs identified via COI barcoding""]",,,True,,,,,yes,
271,10.1603/0013-8746%282006%2999%5b536%3aiopmiq%5d2.0.co%3b2,sections,success,Inventory of Predacious Mites in Quebec Commercial Apple Orchards Where Integrated Pest Management Programs Are Implemented,sections,0.0093,,data\pdfs\fuster\10.1603_0013-8746%282006%2999%5B536%3AIOPMIQ%5D2.0.CO%3B2.pdf,"[""abundance""]","[""site"", ""administrative_units""]",0.35,1999 to 2000,1999,2000,"[""Amblyseius fallacis (Garman)"", ""Typhlodromus caudiglans Schuster"", ""Agistemus fleschneri Summers"", ""Typhlodromus conspicuous (Garman)"", ""Typhlodromus herbertae Chant"", ""Typhlodromus longipilus Nesbitt"", ""Typhlodromus bakeri (Garman)"", ""Typhlodromus pyri Scheuten"", ""Amblyseius okanagensis (Chant)"", ""Amblyseius finlandicus (Oudemans)"", ""Anystis baccarum (L.)"", ""Balaustium sp."", ""Lygus lineolaris (Pallisot de Beauvois)"", ""Conotrachelus nenuphar (Herbst)"", ""Rhagoletis pomonella (Walsh)"", ""Tetranychid mites""]",,True,True,,,True,,yes,
315,10.1603/en10045,sections,success,Selected Beetle Assemblages Captured in Pitfall Traps Baited with Deer Dung or Meat in Balsam Fir and Sugar Maple Forests of Central Quebec,sections,0.0083,,data\pdfs\fuster\10.1603_EN10045.pdf,"[""abundance""]","[""site""]",,5–13 July 2006 (traps operated between 5–12 July 2006 at the two St. Jacques-de-Leeds sites and between 6–13 July 2006 at the other sites),2006,2006,"[""Coleoptera"", ""Histeridae"", ""Hydrophilidae"", ""Scarabaeidae"", ""Silphidae"", ""Ptilidae"", ""Odocoileus virginianus"", ""Cervus elaphus""]",,,True,,,,,yes,
343,10.3390/ijgi7090335,sections,success,Towards Modelling Future Trends of Quebec's Boreal Birds' Species Distribution under Climate Change,sections,0.0105,,data\pdfs\fuster\10.3390_ijgi7090335.pdf,"[""abundance""]","[""distribution"", ""sample""]",,,,,"[""37 boreal bird species (see Appendix A)"", ""Surf Scoter""]",eBird (bird observations); WorldClim (bioclimatic variables); National Topographic Data Base of Canada (elevation); Global Forest Watch Canada (anthropogenic disturbances); Canadian Forest Inventory 2001 (forest/wet area),,True,,,,True,yes,
351,10.1603/0013-8746%282005%29098%5b0565%3awccdaa%5d2.0.co%3b2,sections,success,Weevil (Coleoptera: Curculionoidea) Diversity and Abundance in Two Quebec Vineyards,sections,0.0076,,data\pdfs\fuster\10.1603_0013-8746%282005%29098%5B0565%3AWCCDAA%5D2.0.CO%3B2.pdf,"[""abundance""]","[""site""]",0.014,June–September 1997; May–September 1998–1999,1997,1999,"[""Madarellus undulatus"", ""Barypeithes pellucidus"", ""Otiorhynchus ovatus"", ""Otiorhynchus sulcatus"", ""Ceutorhynchus oregonensis"", ""Pelenomus waltoni"", ""Rhinoncus perpendicularis"", ""Sphenophorus minimus"", ""Ceutorhynchus inaequalis"", ""Orchestomerus whiteheadi"", ""Anthonomus convictus"", ""Curculionoidea"", ""Curculionidae"", ""Ceutorhynchinae"", ""Curculioninae"", ""Entiminae"", ""Scolytinae""]",,True,True,,,True,,yes,
