gt_record_id,record_id,mode,status,title,extraction_method,cost_usd,error_message,pdf_path,data_type,geospatial_info_dataset,spatial_range_km2,temporal_range,temp_range_i,temp_range_f,species,referred_dataset,time_series,multispecies,threatened_species,new_species_science,new_species_region,bias_north_south,valid_yn,reason_not_valid
5,10.1093/jhered/esx103,abstract,success,Data from: Paternity analysis of wood turtles (Glyptemys insculpta) reveals complex mating patterns,abstract_text,0.0102,,data\pdfs\fuster\10.1093_jhered_esx103.pdf,"[""genetic_analysis""]","[""site""]",,2006 and 2007,2006,2007,"[""wood turtle (Glyptemys insculpta)""]",,,,True,,,,yes,
9,10.1371/journal.pone.0128238,abstract,success,Data from: Resampling method for applying density-dependent habitat selection theory to wildlife surveys,abstract_text,0.0046,,data\pdfs\fuster\10.1371_journal.pone.0128238.pdf,"[""abundance""]","[""sample"", ""administrative_units""]",,,,,"[""raccoons"", ""striped skunks"", ""Procyon lotor"", ""Mephitis mephitis""]",,,True,,,,,yes,
11,10.1371/journal.pone.0073695,abstract,success,Data from: Impacts of human disturbance on large prey species: do behavioral reactions translate to fitness consequences?,abstract_text,0.0052,,data\pdfs\fuster\10.1371_journal.pone.0073695.pdf,"[""other""]","[""site_ids"", ""administrative_units""]",,1999-2000 and 2004-2011,1999,2011,"[""forest-dwelling woodland caribou (Rangifer tarandus caribou)"", ""Canis lupus""]",,True,,True,,,,yes,
12,10.1002/ece3.4685,abstract,success,"Data from: Natal habitat preference induction in large mammals – Like mother, like child?",abstract_text,0.0043,,data\pdfs\fuster\10.1002_ece3.4685.pdf,"[""other""]","[""administrative_units""]",,2004–2011,2004,2011,"[""woodland caribou (Rangifer tarandus caribou)"", ""Rangifer tarandus""]",,True,,True,,,,yes,
19,10.1093/jhered/esw073,abstract,success,Data from: The genetic signature of range expansion in a disease vector - the black-legged tick,abstract_text,0.0041,,data\pdfs\fuster\10.1093_jhered_esw073.pdf,"[""genetic_analysis""]","[""site""]",,between 2011 and 2014,2011,2014,"[""black-legged tick"", ""Ixodes scapularis""]",,,,,,,,yes,
24,10.1002/ece3.3906,abstract,success,"Data from: Influence of northern limit range on genetic diversity and structure in a widespread North American tree, sugar maple (Acer saccharum Marshall)",abstract_text,0.0043,,data\pdfs\fuster\10.1002_ece3.3906.pdf,"[""genetic_analysis""]","[""site""]",,,,,"[""sugar maple (Acer saccharum Marshall)"", ""Acer saccharum""]",,,,,,,True,yes,
27,10.1111/ddi.12496,abstract,success,Data from: Patchy distribution and low effective population size raise concern for an at-risk top predator,abstract_text,0.0048,,data\pdfs\fuster\10.1111_ddi.12496.pdf,"[""genetic_analysis""]","[""site_ids"", ""site""]",,between 2010 – 2014,2010,2014,"[""Eastern Wolf"", ""Eastern Coyote"", ""Canis individuals"", ""Canis lupus familiaris"", ""Canis lycaon"", ""Canis latrans""]",blood samples archived from other research projects,,True,True,,True,,yes,
29,10.1002/ece3.1476,abstract,success,"Data from: Ecological gradients driving the distribution of four Ericaceae in boreal Quebec, Canada",abstract_text,0.0109,,data\pdfs\fuster\10.1002_ece3.1476.pdf,"[""abundance""]","[""site"", ""administrative_units""]",535355.0,,,,"[""Rhododendron groenlandicum"", ""Kalmia angustifolia"", ""Chamaedaphne calyculata"", ""Vaccinium spp"", ""Vaccinium angustifolium"", ""Vaccinium myrtilloides""]","15,339 ecological survey plots and forest maps",,True,,,,True,yes,
30,10.1186/s40462-016-0079-4,abstract,success,"Data from: Caribou, water, and ice – fine-scale movements of a migratory arctic ungulate in the context of climate change",abstract_text,0.0064,,data\pdfs\fuster\10.1186_s40462-016-0079-4.pdf,"[""presence-only"", ""distribution""]","[""sample"", ""distribution"", ""geographic_features""]",,from 2000 to 2014; caribou crossing locations from 2007 to 2014; historical annual observations from 1947 to 1985,1947,2014,"[""migratory caribou"", ""Rangifer tarandus caribou""]",digital MODIS maps updated every 8 days (2000–2014); historical annual observations (1947–1985); North Atlantic and Arctic Oscillations monthly values,,,True,,,True,yes,
31,10.1111/eva.12028,abstract,success,Data from: Reduced fitness of Atlantic salmon released in the wild after one generation of captive-breeding,abstract_text,0.004,,data\pdfs\fuster\10.1111_eva.12028.pdf,"[""genetic_analysis""]","[""site""]",,from 2002 to 2005,2002,2005,"[""Atlantic salmon"", ""Salmo salar""]",,,,,,,,yes,
