gt_record_id,record_id,mode,status,title,extraction_method,cost_usd,error_message,pdf_path,data_type,geospatial_info_dataset,spatial_range_km2,temporal_range,temp_range_i,temp_range_f,species,referred_dataset,time_series,multispecies,threatened_species,new_species_science,new_species_region,bias_north_south,valid_yn,reason_not_valid
5,10.1093/jhered/esx103,pdf_native,success,Data from: Paternity analysis of wood turtles (Glyptemys insculpta) reveals complex mating patterns,pdf_native,0.0139,,data\pdfs\fuster\10.1093_jhered_esx103.pdf,"[""genetic_analysis""]","[""site"", ""administrative_units"", ""maps""]",,from 2006 to 2007,2006,2007,"[""Glyptemys insculpta"", ""wood turtle""]",Microsatellites genotypes (Dryad doi:10.5061/dryad.121sk),True,False,True,False,False,False,yes,
9,10.1371/journal.pone.0128238,pdf_native,success,Data from: Resampling method for applying density-dependent habitat selection theory to wildlife surveys,pdf_native,0.0175,,data\pdfs\fuster\10.1371_journal.pone.0128238.pdf,"[""abundance""]","[""sample"", ""site"", ""maps"", ""administrative_units""]",,27 September to 20 October 2008,2008,2008,"[""raccoon (Procyon lotor)"", ""striped skunk (Mephitis mephitis)""]",Dryad: http://dx.doi.org/10.5061/dryad.1771t,False,True,False,False,False,False,yes,
11,10.1371/journal.pone.0073695,pdf_native,success,Data from: Impacts of human disturbance on large prey species: do behavioral reactions translate to fitness consequences?,pdf_native,0.0147,,data\pdfs\fuster\10.1371_journal.pone.0073695.pdf,"[""time_series"", ""presence-only"", ""ecosystem_structure""]","[""sample"", ""range"", ""site"", ""maps""]",7250.0,1999–2000 and 2004–2011,1999,2011,"[""Rangifer tarandus caribou (forest-dwelling woodland caribou)""]",Digital forest maps provided by the Ministère des Ressources naturelles et de la Faune du Québec (MRNF); VHF telemetry data (1999–2000) from Courtois et al.,True,False,True,False,False,,yes,
12,10.1002/ece3.4685,pdf_native,success,"Data from: Natal habitat preference induction in large mammals – Like mother, like child?",pdf_native,0.0158,,data\pdfs\fuster\10.1002_ece3.4685.pdf,"[""presence-only"", ""time_series""]","[""sample"", ""site"", ""range"", ""geographic_features"", ""maps"", ""site_ids""]",7250.0,2004–2011 (captures 2004–2008; monitored until 2012; analyses cover 2004–2011),2004,2011,"[""Rangifer tarandus caribou (woodland caribou)""]","Dryad Digital Repository: https://doi.org/10.5061/dryad.24q6q70; digital forest maps provided by the Québec provincial government (annual updates used for land cover, cutblocks, roads, disturbances)",True,False,True,False,False,False,yes,
19,10.1093/jhered/esw073,pdf_native,success,Data from: The genetic signature of range expansion in a disease vector - the black-legged tick,pdf_native,0.0122,,data\pdfs\fuster\10.1093_jhered_esw073.pdf,"[""genetic_analysis"", ""time_series""]","[""sample"", ""site"", ""site_ids"", ""maps""]",2080.0,2011 to 2014,2011,2014,"[""Ixodes scapularis (black-legged tick)""]",Dryad: http://dx.doi.org/10.5061/dryad.2n5h6,True,False,False,False,False,,yes,
24,10.1002/ece3.3906,pdf_native,success,"Data from: Influence of northern limit range on genetic diversity and structure in a widespread North American tree, sugar maple (Acer saccharum Marshall)",pdf_native,0.016,,data\pdfs\fuster\10.1002_ece3.3906.pdf,"[""genetic_analysis""]","[""site"", ""site_ids"", ""maps""]",,2008–2009,2008,2009,"[""Acer saccharum Marshall"", ""sugar maple""]",Microsatellite genotype data in DRYAD (doi:10.5061/dryad.36634). GenBank access numbers for microsatellite markers listed in Table S1.,False,False,False,False,False,False,yes,
27,10.1111/ddi.12496,pdf_native,success,Data from: Patchy distribution and low effective population size raise concern for an at-risk top predator,pdf_native,0.0128,,data\pdfs\fuster\10.1111_ddi.12496.pdf,"[""genetic_analysis""]","[""sample"", ""site"", ""maps"", ""administrative_units""]",13993.0,2003 to 2014,2003,2014,"[""Eastern Wolf (Canis lycaon)"", ""Eastern Coyote (Canis latrans)"", ""Great Lakes-Boreal Wolf (C. lupus \u00d7 lycaon)"", ""Domestic dog (Canis familiaris)""]",Previously published datasets combined with new data: Rutledge et al. 2010a (Dryad: http://dx.doi.org/10.5061/dryad.q9d6s); Wheeldon et al. 2013 (Dryad: http://dx.doi.org/10.5061/dryad.72s5k); Benson et al. 2012 (Dryad: http://dx.doi.org/10.5061/dryad.568kn).,False,True,True,False,True,False,yes,
29,10.1002/ece3.1476,pdf_native,success,"Data from: Ecological gradients driving the distribution of four Ericaceae in boreal Quebec, Canada",pdf_native,0.0141,,data\pdfs\fuster\10.1002_ece3.1476.pdf,"[""abundance"", ""distribution""]","[""sample"", ""site"", ""distribution"", ""maps"", ""site_ids""]",535355.0,1986 to 2000 (ecological survey plots); forest maps produced 1970–1990 (SIFORT); climate normals 1961–1990 used for climatic variables,1986,2000,"[""Rhododendron groenlandicum"", ""Kalmia angustifolia"", ""Chamaedaphne calyculata"", ""Vaccinium angustifolium"", ""Vaccinium myrtilloides""]","Governmental ecological survey dataset (15,339 plots; surveys 1986–2000) and Spatial Information on Forest composition based on Tesserae (SIFORT) forest maps (maps produced 1970–1990)",False,True,False,False,False,True,yes,
30,10.1186/s40462-016-0079-4,pdf_native,success,"Data from: Caribou, water, and ice – fine-scale movements of a migratory arctic ungulate in the context of climate change",pdf_native,0.0153,,data\pdfs\fuster\10.1186_s40462-016-0079-4.pdf,"[""time_series""]","[""sample"", ""site"", ""maps"", ""geographic_features""]",630000.0,GPS telemetry: 2007–2014; MODIS ice maps (processed): 2000–2014; historical Lake Nichicun data: 1947–1985,2007,2014,"[""Rangifer tarandus caribou""]",Dryad Digital Repository (DOI:10.5061/dryad.4k275); MODIS / NSIDC (MODIS Terra 8-day 500 m snow/ice product),True,False,,,,True,yes,
31,10.1111/eva.12028,pdf_native,success,Data from: Reduced fitness of Atlantic salmon released in the wild after one generation of captive-breeding,pdf_native,0.0124,,data\pdfs\fuster\10.1111_eva.12028.pdf,"[""abundance"", ""genetic_analysis"", ""traits""]","[""site"", ""maps""]",,2002 to 2005,2002,2005,"[""Atlantic salmon (Salmo salar)""]",Dryad: doi:10.5061/dryad.4k739,,False,,,,False,yes,
